run_id,factor_1_correlation,factor_1_defining_sorts,factor_2_correlation,factor_2_defining_sorts,factor_3_correlation,factor_3_defining_sorts,factor_4_correlation,factor_4_defining_sorts,factor_5_correlation,factor_5_defining_sorts
3453595651,0.8066666667,12,0.6533333333,5,0.7733333333,17,0.0000000000,1,0.0000000000,0
2449563043,0.9266666667,14,0.6000000000,6,0.8400000000,5,0.5066666667,4,0.4666666667,5
545932805,0.9200000000,17,0.8400000000,8,0.8466666667,8,0.7133333333,3,0.0000000000,0
1811958462,0.9333333333,18,0.6066666667,7,0.0000000000,0,0.5666666667,8,0.5933333333,7
3894776508,0.8666666667,24,0.7266666667,6,0.5733333333,5,0.6466666667,6,0.0000000000,0
897540404,0.8600000000,11,0.6000000000,8,0.7400000000,11,0.8333333333,8,0.0000000000,0
1926988205,0.9200000000,17,0.8133333333,13,0.0000000000,0,0.7600000000,5,0.0000000000,0
4287657998,0.9200000000,14,0.7400000000,6,0.7600000000,7,0.0000000000,0,0.6000000000,8
503290405,0.8866666667,12,0.4733333333,4,0.4600000000,8,0.6866666667,10,0.0000000000,0
251882991,0.8933333333,20,0.8533333333,10,0.0000000000,0,0.6533333333,4,0.0000000000,0
2670347463,0.8466666667,7,0.5333333333,6,0.6533333333,4,0.0000000000,0,0.7266666667,13
3292743078,0.9400000000,22,0.0000000000,0,0.8466666667,7,0.4533333333,8,0.5466666667,3
3714196792,0.9266666667,16,0.7533333333,8,0.7933333333,5,0.4333333333,5,0.0533333333,2
3125005825,0.8933333333,17,0.7933333333,5,0.8933333333,8,0.7800000000,3,0.1200000000,2
426456219,0.7866666667,18,0.0000000000,0,0.8133333333,8,0.6400000000,6,0.5466666667,9
3806335495,0.8866666667,15,0.8133333333,7,0.8400000000,6,0.5400000000,8,0.0000000000,0
3560269289,0.9400000000,15,0.8000000000,6,0.5866666667,6,0.7066666667,5,0.5466666667,5
3461032978,0.8600000000,17,0.7000000000,5,0.0000000000,0,0.5933333333,8,0.5600000000,13
1203202886,0.8533333333,9,0.7200000000,14,0.8066666667,7,0.4266666667,6,0.2066666667,3
